Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
CGNX,"Cognex Cp",42.93,-1.9,-4.24%,43.87,43.87,42.64,556600,2022-10-07
CHD,"Church & Dwight Company",70.72,-1.1,-1.53%,71.89,71.92,70.31,1177800,2022-10-07
CHDN,"Churchill Downs IN",196.1,-1.53,-0.77%,196.03,197.22,193.87,200600,2022-10-07
CHE,"Chemed Inc",436.11,-4.36,-0.99%,440.32,440.32,432.78,77300,2022-10-07
CHH,"Choice Hotels International",114.19,-2.61,-2.23%,115.59,115.75,112.83,469800,2022-10-07
CHK,"Chesapeake Energy Corp",100.46,-1.19,-1.17%,101.5,103.56,100.39,2765300,2022-10-07
CHPT,"Chargepoint Hldgs Inc",14.43,-1.18,-7.56%,15.16,15.24,14.13,8941000,2022-10-07
CHRW,"C.H. Robinson Ww",94.81,-2.68,-2.75%,95.1,96,93,2086700,2022-10-07
CHTR,"Charter Communicatio",312.53,-11.42,-3.53%,321.26,323.45,311.36,1117000,2022-10-07
CI,"Cigna Corp",288.38,-4.7,-1.60%,289.36,290.89,286.37,1956000,2022-10-07
CIEN,"Ciena Corp",40.59,-1.34,-3.20%,41.33,41.38,40.4,981200,2022-10-07
CINF,"Cincinnati Financial",93.94,-1.63,-1.71%,95.11,95.13,93.64,884600,2022-10-07
CL,"Colgate-Palmolive Company",68.99,-0.57,-0.82%,69.54,69.65,68.74,4316400,2022-10-07
CLF,"Cleveland-Cliffs Inc",14.83,-0.14,-0.94%,14.79,15.04,14.65,9512000,2022-10-07
CLH,"Clean Harbors",115.94,-2.47,-2.09%,117.49,117.6,115,381000,2022-10-07
CLR,"Continental Resources",69.7,-0.06,-0.09%,69.77,70.7,68.95,1167800,2022-10-07
CLVT,"Clarivate Analytics Plc",9.42,-0.49,-4.94%,9.8,9.9,9.28,12261400,2022-10-07
CLX,"Clorox Company",125.76,-4.31,-3.31%,130.03,130.39,125.39,1058300,2022-10-07
CMA,"Comerica Inc",72.44,-1.62,-2.19%,73.61,73.61,71.69,1404100,2022-10-07
